DEBUG | app | 2023-04-14 19:49:32,788 | 12 | ÎŒØ∏‡°⁄·°€йцукен
DEBUG | app | 2023-04-14 19:49:32,788 | 13 | should be visible in logs
DEBUG | app | 2023-04-14 19:49:43,204 | 26 | Число 1: 10.0
DEBUG | app | 2023-04-14 19:49:44,030 | 28 | Число 2: 12.0
DEBUG | app | 2023-04-14 19:50:27,705 | 12 | ÎŒØ∏‡°⁄·°€йцукен
DEBUG | app | 2023-04-14 19:50:27,705 | 13 | should be visible in logs
DEBUG | app | 2023-04-14 19:50:31,916 | 26 | Число 1: 10.0
DEBUG | app | 2023-04-14 19:50:32,292 | 28 | Число 2: 12.0
DEBUG | app | 2023-04-14 19:58:03,429 | 12 | ÎŒØ∏‡°⁄·°€йцукен
DEBUG | app | 2023-04-14 19:58:03,429 | 13 | should be visible in logs
DEBUG | app | 2023-04-14 19:58:11,729 | 26 | Число 1: 10.0
DEBUG | app | 2023-04-14 19:58:13,688 | 12 | ÎŒØ∏‡°⁄·°€йцукен
DEBUG | app | 2023-04-14 19:58:13,688 | 13 | should be visible in logs
DEBUG | app | 2023-04-14 19:58:15,928 | 26 | Число 1: 10.0
DEBUG | app | 2023-04-14 19:58:16,429 | 28 | Число 2: 20.0
